"id";"temperature";"humidity";"active";"created_at";"smoke";"weight";"rack_id"
2;20.0;50.0;1;"2023-07-11 22:19:18.000000";1.0;30.0;1
3;21.0;80.0;1;"2023-07-11 22:29:41.000000";1.0;19.0;1
4;21.351;67.023;1;"2023-07-12 13:15:05.000000";1.0;81.216;1
5;21.51;70.2;1;"2023-07-12 13:15:05.000000";1.0;78.641;2
6;21.856;77.116;1;"2023-07-12 13:15:05.000000";1.0;78.33;3
7;21.901;78.027;1;"2023-07-12 13:15:05.000000";1.0;78.289;4
8;20.537;50.733;1;"2023-07-12 13:15:05.000000";1.0;80.483;5
9;21.99;79.792;1;"2023-07-12 13:15:05.000000";1.0;78.209;6
10;20.096;41.917;1;"2023-07-12 13:15:10.000000";1.0;80.086;1
11;20.463;49.268;1;"2023-07-12 13:15:10.000000";1.0;80.417;2
12;21.17;63.393;1;"2023-07-12 13:15:10.000000";1.0;78.947;3
13;20.236;44.722;1;"2023-07-12 13:15:10.000000";1.0;79.788;4
14;20.325;46.493;1;"2023-07-12 13:15:10.000000";1.0;79.708;5
15;21.317;66.341;1;"2023-07-12 13:15:10.000000";1.0;81.185;6
16;20.279;45.571;1;"2023-07-12 13:26:28.000000";1.0;79.749;1
17;20.666;53.328;1;"2023-07-12 13:26:28.000000";1.0;79.4;2
18;20.319;46.376;1;"2023-07-12 13:26:28.000000";1.0;79.713;3
19;21.469;69.381;1;"2023-07-12 13:26:28.000000";1.0;78.678;4
20;21.86;77.199;1;"2023-07-12 13:26:28.000000";1.0;78.326;5
21;21.377;67.531;1;"2023-07-12 13:26:28.000000";1.0;81.239;6
22;21.431;68.611;1;"2023-07-12 13:26:33.000000";1.0;78.713;1
23;20.522;50.448;1;"2023-07-12 13:26:33.000000";1.0;80.47;2
24;20.819;56.386;1;"2023-07-12 13:26:33.000000";1.0;80.737;3
25;21.159;63.19;1;"2023-07-12 13:26:33.000000";1.0;78.956;4
26;21.088;61.753;1;"2023-07-12 13:26:33.000000";1.0;79.021;5
27;21.542;70.847;1;"2023-07-12 13:26:33.000000";1.0;78.612;6
28;20.057;41.14;1;"2023-07-12 13:26:40.000000";1.0;80.051;1
29;20.85;56.999;1;"2023-07-12 13:26:40.000000";1.0;80.765;2
30;21.738;74.76;1;"2023-07-12 13:26:40.000000";1.0;81.564;3
31;20.824;56.488;1;"2023-07-12 13:26:40.000000";1.0;80.742;4
32;20.661;53.214;1;"2023-07-12 13:26:40.000000";1.0;79.405;5
33;21.062;61.248;1;"2023-07-12 13:26:40.000000";1.0;79.044;6
34;21.929;78.572;1;"2023-07-12 13:28:35.000000";1.0;78.264;1
35;21.365;67.291;1;"2023-07-12 13:28:35.000000";1.0;81.228;2
36;20.457;49.134;1;"2023-07-12 13:28:35.000000";1.0;80.411;3
37;20.425;48.505;1;"2023-07-12 13:28:35.000000";1.0;80.383;4
38;21.554;71.075;1;"2023-07-12 13:28:35.000000";1.0;78.602;5
39;21.024;60.477;1;"2023-07-12 13:28:35.000000";1.0;79.079;6
40;21.521;70.426;1;"2023-07-12 13:28:40.000000";1.0;78.631;1
41;20.653;53.059;1;"2023-07-12 13:28:40.000000";1.0;79.412;2
42;20.72;54.402;1;"2023-07-12 13:28:40.000000";1.0;79.352;3
43;21.248;64.956;1;"2023-07-12 13:28:40.000000";1.0;81.123;4
44;21.277;65.533;1;"2023-07-12 13:28:40.000000";1.0;81.149;5
45;20.302;46.037;1;"2023-07-12 13:28:40.000000";1.0;79.728;6
46;20.89;57.805;1;"2023-07-12 13:30:43.000000";1.0;80.801;1
47;20.22;44.402;1;"2023-07-12 13:30:43.000000";1.0;79.802;2
48;20.977;59.541;1;"2023-07-12 13:30:43.000000";1.0;80.879;3
49;20.51;50.195;1;"2023-07-12 13:30:43.000000";1.0;80.459;4
50;21.015;60.296;1;"2023-07-12 13:30:43.000000";1.0;79.087;5
51;21.063;61.27;1;"2023-07-12 13:30:43.000000";1.0;79.043;6
52;21.983;79.658;1;"2023-07-12 13:30:48.000000";1.0;78.215;1
53;20.477;49.54;1;"2023-07-12 13:30:48.000000";1.0;80.429;2
54;21.545;70.903;1;"2023-07-12 13:30:48.000000";1.0;78.609;3
55;20.943;58.858;1;"2023-07-12 13:30:48.000000";1.0;80.849;4
56;21.124;62.488;1;"2023-07-12 13:30:48.000000";1.0;78.988;5
57;20.625;52.498;1;"2023-07-12 13:30:48.000000";1.0;79.438;6
58;20.981;59.627;1;"2023-07-12 13:30:53.000000";1.0;80.883;1
59;21.987;79.736;1;"2023-07-12 13:30:53.000000";1.0;78.212;2
60;21.247;64.934;1;"2023-07-12 13:30:53.000000";1.0;81.122;3
61;21.009;60.18;1;"2023-07-12 13:30:53.000000";1.0;79.092;4
62;21.147;62.945;1;"2023-07-12 13:30:53.000000";1.0;78.967;5
63;21.218;64.355;1;"2023-07-12 13:30:53.000000";1.0;81.096;6
64;20.148;42.961;1;"2023-07-12 13:30:58.000000";1.0;80.133;1
65;20.78;55.607;1;"2023-07-12 13:30:58.000000";1.0;79.298;2
66;21.669;73.38;1;"2023-07-12 13:30:58.000000";1.0;81.502;3
67;20.129;42.586;1;"2023-07-12 13:30:58.000000";1.0;80.116;4
68;21.129;62.576;1;"2023-07-12 13:30:58.000000";1.0;78.984;5
69;20.128;42.567;1;"2023-07-12 13:30:58.000000";1.0;80.116;6
70;20.345;46.902;1;"2023-07-12 13:31:03.000000";1.0;79.689;1
71;21.28;65.61;1;"2023-07-12 13:31:03.000000";1.0;81.152;2
72;21.072;61.434;1;"2023-07-12 13:31:03.000000";1.0;79.035;3
73;21.924;78.479;1;"2023-07-12 13:31:03.000000";1.0;78.268;4
74;21.895;77.896;1;"2023-07-12 13:31:03.000000";1.0;78.295;5
75;20.271;45.415;1;"2023-07-12 13:31:03.000000";1.0;79.756;6
76;21.564;71.279;1;"2023-07-12 13:31:08.000000";1.0;78.592;1
77;21.893;77.852;1;"2023-07-12 13:31:08.000000";1.0;78.297;2
78;21.518;70.365;1;"2023-07-12 13:31:08.000000";1.0;78.634;3
79;21.508;70.162;1;"2023-07-12 13:31:08.000000";1.0;78.643;4
80;20.649;52.98;1;"2023-07-12 13:31:08.000000";1.0;79.416;5
